ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"101.109.80.117","elite","AS23969","TH","TOT Public Company Limited","163","TOT Public Company Limited","4145","socks4","4599","1","2024-01-29T03:53:34.511Z","47","2797","5935"
"181.3.165.234","elite","AS7303","AR","Telecom Argentina S.A.","627","Telecom Personal Bs","1080","socks4","164","1","2024-01-29T03:53:15.511Z","28","1638","5847"
"203.30.191.92","elite","AS209242","BZ","Cloudflare London, LLC","11","Umpire Associates LTD","80","socks5","4605","2","2024-01-29T03:53:15.509Z","100","5856","5857"
"138.186.93.4","elite","AS263124","BR","ZAP TELECOM LTDA","219","ZAP TELECOM LTDA","5678","socks4","610","1","2024-01-29T03:52:57.315Z","84","5006","5965"
"202.162.214.250","elite","AS9341","ID","PT Indonesia Comnets Plus","186","N/A","3128","socks4","4211","1","2024-01-29T03:52:57.417Z","98","5797","5892"
"202.159.35.65","elite","AS9340","ID","PT IndoInternet","169","N/A","443","socks4","3614","1","2024-01-29T03:52:57.318Z","99","5810","5849"
"95.79.99.159","elite","AS42682","RU","JSC \"ER-Telecom Holding\"","49","JSC \"ER-Telecom Holding\" Nizhny Novgorod","44068","socks4","3892","1","2024-01-29T03:52:57.418Z","100","5783","5809"
"104.129.205.15","elite","AS22616","US","ZSCALER, INC.","92","Zscaler, Inc.","10289","socks5","5095","1","2024-01-29T03:52:57.316Z","93","5422","5845"
"113.231.150.20","elite","AS4837","CN","CNC Group CHINA169 Liaoning Province Network","186","N/A","1080","socks4","4403","1","2024-01-29T03:52:57.314Z","73","4276","5852"
"99.26.74.89","elite","AS7018","US","AT&T Services, Inc.","199","Martha Martinez","39593","socks4","3809","1","2024-01-29T03:52:57.317Z","89","5276","5905"
"128.199.16.89","elite","AS14061","IN","DigitalOcean, LLC","128","DigitalOcean, LLC","53989","socks5","2196","1","2024-01-29T03:52:39.309Z","53","3081","5815"
"211.174.105.26","elite","AS4766","KR","Korea Telecom","252","Netropy","4153","socks4","4614","1","2024-01-29T03:52:39.309Z","100","5919","5941"
"103.47.93.216","elite","AS134058","IN","Broban Internet Services Pvt.ltd","281","Broban  PVT Ltd.","1080","socks4","704","1","2024-01-29T03:52:39.308Z","99","5765","5810"
"115.160.160.38","elite","AS9381","HK","HKBN Enterprise Solutions HK Limited","204","HKBNES","3128","socks4","2193","1","2024-01-29T03:52:39.308Z","100","5901","5919"
"168.227.158.85","elite","AS52898","BR","Multipla Serviços Inteligentes","294","Multipla Serviços Inteligentes","4145","socks4","4801","1","2024-01-29T03:52:39.304Z","99","5832","5884"
"103.254.175.181","elite","AS45117","IN","INPL BB","287","N/A","8080","socks4","4308","1","2024-01-29T03:52:39.302Z","99","5737","5778"
"173.236.188.26","elite","AS26347","US","New Dream Network, LLC","79","New Dream Network, LLC","54262","socks5","4501","1","2024-01-29T03:52:21.507Z","100","5838","5846"
"192.163.252.85","elite","AS46606","US","Unified Layer","138","Unified Layer","52119","socks5","3404","1","2024-01-29T03:52:21.508Z","100","5872","5888"
"168.227.158.9","elite","AS52898","BR","Multipla Serviços Inteligentes","226","Multipla Serviços Inteligentes","4145","socks4","4891","1","2024-01-29T03:52:21.509Z","99","5812","5851"
"212.103.119.24","elite","AS57044","RU","CJSC \"ER-Telecom Holding\" Bryansk branch","103","JSC \"ER-Telecom Holding\" Bryansk Branch","1080","socks5","3211","1","2024-01-29T03:52:03.511Z","96","5506","5753"
"165.227.112.138","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","1080","socks4","4990","1","2024-01-29T03:52:03.604Z","75","4348","5835"
"130.61.31.199","elite","AS31898","DE","Oracle Corporation","11","Oracle Cloud Infrastructure (eu-frankfurt-1)","65002","socks4","4984","1","2024-01-29T03:52:03.603Z","30","1791","5875"
"136.244.89.35","elite","AS20473","DE","The Constant Company","10","Vultr Holdings, LLC","10487","socks4","4914","1","2024-01-29T03:52:03.512Z","55","3231","5900"
"91.193.237.180","elite","AS42916","RU","NKOORT","49","IT Ltd","3389","socks4","3605","1","2024-01-29T03:51:45.513Z","99","5821","5851"
"180.183.224.240","elite","AS45629","TH","Triple T Broadband Public Company Limited","161","Triple T Broadband Public Company Limited","4153","socks4","4791","1","2024-01-29T03:51:45.512Z","88","5112","5809"
"140.250.92.253","elite","AS4134","CN","Chinanet","277","Chinanet SD","1080","socks4","4412","2","2024-01-29T03:51:45.509Z","82","4850","5922"
"139.162.156.92","elite","AS63949","DE","Akamai Technologies, Inc.","12","Linode, LLC","7497","socks5","2682","1","2024-01-29T03:51:45.514Z","98","5719","5825"
"46.227.36.1","elite","AS51155","PL","Telemedian - TB Telecom","41","Telemedian","1088","socks4","4301","1","2024-01-29T03:51:45.606Z","100","5742","5759"
"139.170.229.78","elite","AS4837","CN","China Unicom Qinghai Province Network","204","N/A","7080","socks5","2993","1","2024-01-29T03:51:27.309Z","90","5256","5868"
"157.230.36.225","elite","AS14061","SG","DigitalOcean, LLC","158","DigitalOcean, LLC","7497","socks5","117","1","2024-01-29T03:51:27.312Z","50","2914","5837"
"37.193.227.108","elite","AS31200","RU","Novotelecom Ltd","90","Novotelecom ltd.","1080","socks5","3395","1","2024-01-29T03:51:27.312Z","89","5266","5893"
"187.95.80.141","elite","AS262696","BR","Turbonet Telecomunicações","191","Turbonet Telecomunicações","3629","socks4","4704","1","2024-01-29T03:51:09.021Z","99","5880","5929"
"104.16.105.146","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4700","1","2024-01-29T03:51:09.102Z","100","5761","5761"
"213.16.81.147","elite","AS12301","HU","Invitech ICT Services Kft.","39","SzerSzoft","5678","socks4","485","1","2024-01-29T03:50:51.010Z","99","5926","5966"
"168.227.158.73","elite","AS52898","BR","Multipla Serviços Inteligentes","284","Multipla Serviços Inteligentes","4145","socks4","1795","81","2024-01-29T03:50:51.014Z","99","5842","5890"
"185.171.52.101","elite","AS44285","IR","Sefroyek Pardaz Engineering Co. LTD","100","Shahrad","4153","socks4","1788","85","2024-01-29T03:50:51.015Z","97","5710","5910"
"118.174.209.189","elite","AS23969","TH","TOT Public Company Limited","152","TOT Public Company Limited","4145","socks4","1088","5","2024-01-29T03:50:51.016Z","64","3765","5895"
"113.74.26.114","elite","AS4134","CN","Chinanet","291","Chinanet GD","4145","socks4","4401","1","2024-01-29T03:50:51.009Z","87","5063","5849"
"116.199.168.1","elite","AS45661","IN","Capture Network Systems Pvt Ltd","199","CAPTURE","4145","socks4","4911","1","2024-01-29T03:50:32.728Z","99","5871","5910"
"36.37.244.41","elite","AS38623","KH","VIETTEL (CAMBODIA) PTE., LTD","187","Viettel (cambodia) Pte., Ltd.","5678","socks4","1996","1","2024-01-29T03:50:32.727Z","96","5644","5886"
"213.226.16.46","elite","AS8717","BG","Mobiltel EAD","50","N/A","51372","socks4","2290","1","2024-01-29T03:50:32.729Z","99","5727","5804"
"128.199.142.101","elite","AS14061","SG","DigitalOcean, LLC","150","DigitalOcean, LLC","14061","socks5","1415","1","2024-01-29T03:50:32.730Z","100","5839","5842"
"110.34.166.185","elite","AS45652","SG","VPLS-SIN","334","Vpls Sin1","4153","socks4","203","1","2024-01-29T03:50:32.723Z","99","5861","5935"
"200.77.186.181","elite","AS61444","CL","Enlaces Regionales de Chile S.A.","208","Enlaces Regionales de Chile S.A","4145","socks5","2688","1","2024-01-29T03:50:32.722Z","99","5861","5928"
"67.205.159.46","elite","AS14061","US","DigitalOcean, LLC","82","Digital Ocean","8459","socks4","531","85","2024-01-29T03:50:32.721Z","73","4318","5946"
"43.153.36.48","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","198","Tencent Cloud Computing","443","socks5","1002","1","2024-01-29T03:50:14.520Z","5","283","5826"
"103.208.200.222","elite","AS133275","IN","Gigantic","147","N/A","4670","socks4","4495","1","2024-01-29T03:50:14.519Z","98","5759","5863"
"203.76.103.57","elite","AS23688","BD","Link3 Technologies Limited","182","Corporate Subscriber","4145","socks4","1684","1","2024-01-29T03:49:55.708Z","97","5711","5881"
"125.161.141.186","elite","AS7713","ID","PT. TELKOM INDONESIA","172","N/A","80","socks5","4697","1","2024-01-29T03:49:55.621Z","83","4855","5819"
"103.47.93.246","elite","AS134058","IN","Broban Internet Services Pvt.ltd","266","Broban  PVT Ltd.","13405","socks5","4807","1","2024-01-29T03:49:55.707Z","99","5710","5770"
"177.223.63.26","elite","AS263500","BR","Star Telecom S/A","182","Star Telecom S/A","52104","socks4","5493","81","2024-01-29T03:49:55.706Z","99","5854","5941"
"51.52.205.98","elite","AS31655","GB","Gamma Telecom Holdings Ltd","19","Gamma Telecom Limited","4153","socks4","5296","1","2024-01-29T03:49:55.706Z","59","3449","5805"
"177.38.5.33","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","197","FÁBIO MENDES DIAS LTDA ME","4153","socks4","1504","3","2024-01-29T03:49:55.703Z","92","5451","5893"
"8.42.68.249","elite","AS399869","US","Mountain Broadband","123","Level 3, LLC","39593","socks4","4896","1","2024-01-29T03:49:37.615Z","100","5848","5850"
"167.99.12.224","elite","AS14061","US","DigitalOcean, LLC","85","Digital Ocean","49463","socks4","132","1","2024-01-29T03:49:37.619Z","100","5836","5843"
"66.42.92.212","elite","AS20473","US","The Constant Company","95","Vultr Holdings, LLC","9999","socks4","3897","2","2024-01-29T03:49:37.620Z","72","4209","5825"
"138.197.69.132","elite","AS14061","US","DigitalOcean, LLC","92","Digital Ocean","19260","socks5","4898","1","2024-01-29T03:49:19.004Z","100","5923","5938"
"125.228.77.228","elite","AS3462","TW","Chunghwa Telecom Co., Ltd.","301","Chunghwa Telecom Co. Ltd.","1081","socks4","4804","83","2024-01-29T03:49:18.615Z","99","5817","5893"
"194.28.56.49","elite","AS57803","RU","TeleServise Ltd","51","TeleServis Ltd","3629","socks4","4787","1","2024-01-29T03:49:18.614Z","99","5831","5910"
"83.168.84.130","elite","AS35179","PL","ESPOL-FH","65","N/A","4153","socks4","2083","1","2024-01-29T03:49:19.003Z","50","2917","5872"
"201.20.88.5","elite","AS28598","BR","MOB SERVICOS DE TELECOMUNICACOES S.A.","1043","MOB SERVICOS DE TELECOMUNICACOES S.A","3128","socks4","2704","1","2024-01-29T03:49:18.615Z","97","5753","5902"
"51.89.194.19","elite","AS16276","GB","OVH SAS","9","OVH Ltd","18786","socks4","3203","81","2024-01-29T03:49:18.615Z","100","5898","5898"
"109.75.47.204","elite","AS44395","AM","Ucom Cjsc","72","N/A","4153","socks4","3990","1","2024-01-29T03:49:18.616Z","95","5536","5844"
"45.125.222.97","elite","AS63526","BD","Carnival Internet","169","N/A","47239","socks4","705","1","2024-01-29T03:49:18.613Z","99","5751","5796"
"136.144.237.16","elite","AS20857","NL","TransIP BV","16","N/A","5836","socks4","4505","1","2024-01-29T03:49:00.708Z","100","5847","5863"
"104.21.223.181","elite","AS13335","CA","Cloudflare, Inc.","85","Cloudflare, Inc.","80","socks4","4600","1","2024-01-29T03:48:42.511Z","100","5848","5849"
"173.236.181.192","elite","AS26347","US","New Dream Network, LLC","79","New Dream Network, LLC","24310","socks5","4500","1","2024-01-29T03:48:42.510Z","100","5807","5817"
"43.246.143.250","elite","AS134294","IN","R P World Telecom Pvt Ltd","164","R P World Telecom Pvt Ltd","9999","socks4","1302","2","2024-01-29T03:48:42.510Z","99","5883","5957"
"104.19.233.117","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","2599","1","2024-01-29T03:48:42.515Z","100","5909","5912"
"188.255.244.83","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","34","Orion Telekom Tim d.o.o.Beograd","52116","socks4","4810","1","2024-01-29T03:48:42.605Z","100","5874","5889"
"170.81.108.47","elite","AS266416","BR","L3 NETWORKS E TELECOMUNICACOES LTDA","216","L3 NETWORKS E TELECOMUNICACOES LTDA","4153","socks4","5437","1","2024-01-29T03:48:42.510Z","100","5912","5940"
"1.55.241.4","elite","AS18403","VN","FPT Telecom Company","197","FPTDYNAMICIP","4145","socks4","1294","85","2024-01-29T03:48:42.514Z","99","5831","5906"
"181.66.37.143","elite","AS6147","PE","Telefonica del Peru S.A.A.","185","Telefonica del Peru S.A.A","4153","socks4","4199","1","2024-01-29T03:48:42.514Z","66","3917","5910"
"41.76.156.90","elite","AS37230","NG","Swifttalk-B1","151","Swifttalk Limited","47313","socks4","5094","1","2024-01-29T03:48:24.416Z","96","5580","5837"
"116.102.244.96","elite","AS7552","VN","Viettel Corporation","230","Viettel Group","5678","socks4","5003","1","2024-01-29T03:48:24.414Z","56","3335","5903"
"45.70.30.199","elite","AS267574","BR","Eltecweb Provedor De Internet Ltda","215","Eltecweb Provedor De Internet Ltda","5678","socks4","485","1","2024-01-29T03:48:24.415Z","99","5897","5955"
"188.92.242.106","elite","AS25227","RU","JSC Avantel","50","Avantel, Close Joint Stock Company","8088","socks5","1113","2","2024-01-29T03:48:24.509Z","99","5817","5866"
"109.73.191.101","elite","AS49924","IT","ECROM-MAIN","84","N/A","5678","socks4","1908","1","2024-01-29T03:48:24.411Z","64","3769","5923"
"116.58.227.134","elite","AS131090","TH","CAT Telecom Public Company Limited","294","CAT BB","4145","socks4","123","1","2024-01-29T03:48:24.412Z","79","4707","5931"
"113.11.183.142","elite","AS17451","ID","BIZNET","183","BIZNET","4145","socks4","408","1","2024-01-29T03:48:05.806Z","98","5795","5906"
"184.82.140.210","elite","AS133481","TH","AIS-Fibre","256","N/A","4145","socks4","5092","1","2024-01-29T03:48:05.803Z","96","5677","5901"
"46.227.39.1","elite","AS51155","PL","TB Telecom Sp. z o. o.","41","Telemedian","1088","socks4","1383","1","2024-01-29T03:48:05.817Z","100","5772","5791"
"85.199.71.66","elite","AS12693","DE","e.discom","32","KabelSat Bergen GmbH","8080","socks5","4589","1","2024-01-29T03:48:05.807Z","100","5763","5766"
"197.234.13.14","elite","AS36902","SC","Intelvision","170","Intelvision Ltd","4145","socks4","4889","1","2024-01-29T03:48:05.807Z","99","5851","5887"
"104.16.107.142","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1811","1","2024-01-29T03:48:05.805Z","100","5850","5851"
"36.66.151.17","elite","AS7713","ID","PT. Telekomunikasi Indonesia","191","N/A","4673","socks4","4603","1","2024-01-29T03:47:47.518Z","8","480","5884"
"103.110.84.199","elite","AS63760","VN","Representative office of AZDIGI Corporation","196","VPDD-AZDIGI","7497","socks5","2798","1","2024-01-29T03:47:47.514Z","90","5329","5948"
"165.154.226.109","elite","AS142002","TW","Scloud Pte Ltd","216","Scloud Pte Ltd","80","socks5","4000","1","2024-01-29T03:47:47.516Z","42","2469","5834"
"36.37.104.98","elite","AS4800","ID","LINTASARTA","192","N/A","34040","socks4","3195","1","2024-01-29T03:47:47.518Z","99","5925","5974"
"104.19.171.188","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4894","1","2024-01-29T03:47:29.109Z","100","5802","5802"
"170.233.176.128","elite","AS52268","AR","Copelco Ltda.","295","Copelco Ltda.","4145","socks4","4702","1","2024-01-29T03:47:29.112Z","98","5697","5787"
"47.113.179.6","elite","AS37963","CN","Hangzhou Alibaba Advertising Co., Ltd.","291","Aliyun Computing Co., LTD","10705","socks4","3193","81","2024-01-29T03:47:29.110Z","60","3550","5874"
"183.88.74.73","elite","AS45629","TH","Triple T Broadband Public Company Limited","168","Triple T Broadband Public Company Limited","4153","socks4","5017","1","2024-01-29T03:47:29.111Z","90","5248","5853"
"103.51.47.9","elite","AS133819","ID","CIM","199","N/A","4145","socks4","416","1","2024-01-29T03:47:23.852Z","99","5800","5860"
"217.197.151.182","elite","AS34093","CZ","PREROV","31","N/A","5678","socks4","219","1","2024-01-29T03:47:21.983Z","100","5897","5907"
"84.244.69.29","elite","AS25248","CZ","BlueTone-CRa","31","DATRON, a.s.","443","socks4","1089","1","2024-01-29T03:47:20.235Z","100","5899","5906"
